,sinus
0,-9.797174393178826e-15
1,-0.06282188911749839
2,-0.12539560090557825
3,-0.18747393845723315
4,-0.2488116618371369
5,-0.3091664568995127
6,-0.36829989254910667
7,-0.4259783626596982
8,-0.4819740089345705
9,-0.5360656210567075
10,-0.5880395105814218
11,-0.6376903551074377
12,-0.6848220094030456
13,-0.7292482802755892
14,-0.7707936621266941
15,-0.8092940302846521
16,-0.844597289378169
17,-0.8765639741876482
18,-0.9050678006011392
19,-0.9299961644995969
20,-0.9512505865964066
21,-0.9687471014814737
22,-0.9824165893239617
23,-0.9922050489304203
24,-0.9980738110758661
25,-0.9999996912662216
26,-0.9979750813284868
27,-0.9920079794666166
28,-0.9821219586650598
29,-0.9683560735631717
30,-0.9507647061713388
31,-0.929417351033898
32,-0.9043983406927312
33,-0.8758065125317207
34,-0.8437548183206336
35,-0.8083698780001322
36,-0.7697914794713743
37,-0.7281720263628428
38,-0.6836759359638135
39,-0.6364789896957044
40,-0.586767638686502
41,-0.5347382671968158
42,-0.4805964168092476
43,-0.42455597443448195
44,-0.36683832735771277
45,-0.3076714886418633
46,-0.24728919637217883
47,-0.18592999027182922
48,-0.12383626935452242
49,-0.06125333432478911
50,0.0015715814713138012
51,0.06439028874750437
52,0.12695462274602703
53,0.1890174236058322
54,0.25033351276998544
55,0.3106606615561265
56,0.36976054808757836
57,0.4273996987730637
58,0.4833504106465069
59,0.5373916509047503
60,0.589309930095731
61,0.6389001455067139
62,0.685966391420784
63,0.7303227330400643
64,0.7717939410232091
65,0.8102161837177722
66,0.845437674389892
67,0.8773192708451294
68,0.9057350251099193
69,0.9305726809955138
70,0.951734117556365
71,0.9691357367204327
72,0.9827087935417723
73,0.9923996677768483
74,0.9981700757108427
75,0.9999972213971391
76,0.9978738867125126
77,0.9918084598722635
78,0.9818249022926445
79,0.9679626539314939
80,0.9502764774815895
81,0.9288362420282748
82,0.9037266470378991
83,0.875046887748532
84,0.8429102632984644
85,0.8074437291482438
86,0.7687873955300705
87,0.7270939739586546
88,0.6825281739354292
89,0.6352660522638095
90,0.585494317551994
91,0.5334095926031165
92,0.4792176376722466
93,0.4231325376132408
94,0.36537585612214446
95,0.30617576047613354
96,0.24576612013577168
97,0.18438558286245083
98,0.122276631942947
99,0.05968462824513037
100,-0.0031431590601634714
101,-0.06595852934278548
102,-0.1285133310259272
103,-0.190560441906778
104,-0.25185474541064895
105,-0.3121540989218805
106,-0.37122029036615045
107,-0.4288199792652124
108,-0.4847256185464366
109,-0.5387163534655508
110,-0.5905788940899297
