,sinus
0,-4.898587196589413e-15
1,-0.031426467140626274
2,-0.0628218891174935
3,-0.09415525143533925
4,-0.12539560090560156
5,-0.1565120762238544
6,-0.18747393845720042
7,-0.2182506014094835
8,-0.2488116618371597
9,-0.27912692948254597
10,-0.3091664568995351
11,-0.3389005690358691
12,-0.36829989254912854
13,-0.3973353848233577
14,-0.42597836265971945
15,-0.45420053061104587
16,-0.4819740089343919
17,-0.5092713611324029
18,-0.5360656210567274
19,-0.5623303195479395
20,-0.5880395105814408
21,-0.6131677969013342
22,-0.6376903551074558
23,-0.6615829601785272
24,-0.6848220094030627
25,-0.7073845456957035
26,-0.7292482802756053
27,-0.750391614685563
28,-0.7707936621267091
29,-0.7904342680941686
30,-0.8092940302846658
31,-0.82735431776556
32,-0.8445972893781817
33,-0.8610059113632182
34,-0.8765639741876595
35,-0.8912561085576577
36,-0.9050678006011492
37,-0.9179854062064133
38,-0.9299961644996055
39,-0.9410882104509319
40,-0.9512505865964138
41,-0.9604732538622694
42,-0.9687471014814796
43,-0.9760639559947129
44,-0.9824165893239661
45,-0.9877987259139321
46,-0.9922050489304232
47,-0.9956312055131897
48,-0.9980738110758394
49,-0.9995304526494984
50,-0.9999996912662216
51,-0.9994810633807978
52,-0.9979750813284852
53,-0.995483232818966
54,-0.9920079794666136
55,-0.9875527543590333
56,-0.9821219586650554
57,-0.9757209572875396
58,-0.9683560735632792
59,-0.9600345830164442
60,-0.9507647061713315
61,-0.9405556004315828
62,-0.9294173510338893
63,-0.9173609610853016
64,-0.9043983406925271
65,-0.890542295199317
66,-0.8758065125319289
67,-0.8602055496808612
68,-0.8437548183208651
69,-0.8264705695820135
70,-0.808369878000386
71,-0.7894706246483824
72,-0.7697914794710691
73,-0.7493518828427597
74,-0.728172026362515
75,-0.7062728329075321
76,-0.6836759359641282
77,-0.6604036582567386
78,-0.636478989696037
79,-0.6119255646679667
80,-0.5867676386868511
81,-0.5610300644304951
82,-0.5347382671964117
83,-0.5079182197784358
84,-0.48059641680882814
85,-0.4527998485930145
86,-0.42455597443487236
87,-0.39589269552261996
88,-0.3668383273581139
89,-0.3374215717847292
90,-0.3076714886422736
91,-0.27761746704782586
92,-0.2472891963717154
93,-0.2167166369085043
94,-0.18592999027135929
95,-0.154959669570158
96,-0.12383626935404783
97,-0.09259053539701599
98,-0.06125333432521953
99,-0.029855623116710358
100,0.0015715814708825774
101,0.0329972335453057
102,0.06439028874798165
103,0.09571973492170069
104,0.12695462274650143
105,0.15806409631347673
106,0.18901742360630186
107,0.2197840268603734
108,0.25033351276956795
109,0.28063570251078024
110,0.3106606615557166
111,0.3403787292465431
112,0.3697605480880227
113,0.3987770927566187
114,0.4273996987734961
115,0.45560009081292585
116,0.4833504106469256
117,0.5106232446532155
118,0.5373916509043866
119,0.5636291857827233
120,0.5893099300953826
121,0.6144085146897283
122,0.6389001455070819
123,0.6627606280762072
124,0.6859663914211319
125,0.7084945113358287
126,0.7303227330403911
127,0.7514294931584761
128,0.7717939410229349
129,0.7913959592693861
130,0.8102161837180525
131,0.8282360224921622
132,0.8454376743901475
133,0.8618041464730601
134,0.877319270844486
135,0.8919677206290222
136,0.905735025110122
137,0.9186075840237912
138,0.9305726809956889
139,0.941618496104444
140,0.9517341175565117
141,0.9609095524640555
142,0.9691357367205506
143,0.9764045439510617
144,0.9827087935415241
145,0.9880422577344824
146,0.9923996677769071
147,0.9957767191278852
148,0.9981700757108716
149,0.9995773732080634
150,0.999997221397138
151,0.9994292055239569
152,0.9978738867124816
153,0.9953328014105446
154,0.9918084598724348
155,0.9873043436773592
156,0.9818249022925537
157,0.9753755486766857
158,0.9679626539313738
159,0.9595935410101393
160,0.9502764774814406
161,0.9400206673624568
162,0.9288362420280976
163,0.9167342502016347
164,0.903726647038473
165,0.8898262823171872
166,0.8750468877483005
167,0.8594030634034278
168,0.8429102632982071
169,0.8255847801234467
170,0.8074437291479617
171,0.7885050313127379
172,0.7687873955297646
173,0.7483103001981554
174,0.7270939739595751
175,0.7051593757171934
176,0.6825281739350797
177,0.6592227252236623
178,0.6352660522648449
179,0.6106818210593226
180,0.5854943175516063
181,0.5597284236417727
182,0.5334095926027119
183,0.5065638239309659
184,0.47921763767342335
185,0.45139804821825
186,0.42313253761280745
187,0.3944490284184081
