,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,15.07,86.1,73.56,66.13,37.71,45.45,20.45,72.77,41.3,37.41,47.09,135.25,233.23323,41.85,35.93,77.53,72.97,71.23,17.22,28.253334,25.04,58.27,59.999935,35.67,48.0,36.8,53.4,75.45,38.68,34.21,61.89,88.9,15.99,72.53,12.327143,26.15,29.91,44.03,24.18,63.72,141.0,54.32,35.12923,52.5,40.0,9.955,39.67,62.7,76.26,142.25
1,14.32,87.4,72.86,65.9,37.24,44.25,20.63,70.9,41.0,37.97,47.8,136.65,234.73474,41.735,35.74,78.4,71.75,69.68,17.55,28.466667,25.49,58.72,57.059944,34.95,48.05,36.85,53.33,75.25,38.59,34.2,62.43,88.34,16.08,69.92,12.007143,26.38,29.7,43.62,24.21,64.34,135.5,52.5,35.493313,49.805,40.27,9.69,37.9,62.7,73.85,141.23
2,14.235,87.89,72.66,66.8,36.96,44.99,21.09,70.28,40.44,37.57,47.5,133.3,241.49149,41.72,35.79,77.89,69.85,67.59,17.62,28.633333,25.6,59.25,57.53994,34.4,48.17,36.9,53.59,75.04,38.72,34.27,61.6,89.78,16.23,68.8,12.252857,26.55,29.63,45.1,24.25,63.87,131.01,52.8,35.502647,48.725,39.97,10.099,37.64,62.7,72.45,141.33
3,13.845,87.17,71.82,66.51,36.7,43.69,21.25,71.06,39.94,37.45,46.91,134.6,244.0891,41.1,35.61,77.42,70.01,67.38,17.63,28.253334,25.53,58.38,56.75994,33.4,47.57,36.46,53.46,74.16,38.22,34.190002,60.29,88.61,16.25,69.05,12.28,26.29,29.65,43.16,24.005,63.59,130.75,52.45,34.49442,49.0675,39.72,9.901,37.55,63.0,73.88,140.82
4,14.205,88.03,71.72,66.6,36.69,42.98,21.18,70.98,39.5,37.78,47.0,132.17,242.96797,40.935,35.58,78.0,70.42,66.29,17.93,28.426666,25.98,57.99,56.45994,33.85,47.9,36.55,53.6,74.98,37.6,34.500004,61.0,88.93,16.12,67.43,12.35,26.24,30.0,44.3,24.27,63.39,129.78,53.35,34.363728,49.4375,39.51,10.11,37.77,63.05,71.85,141.31
5,13.625,88.47,73.0,66.56,36.25,41.41,21.09,69.75,39.84,37.38,47.05,129.0,242.45746,40.8,35.42,77.31,69.8,66.18,17.66,28.22,25.81,57.69,56.00994,34.2,47.47,36.61,53.26,73.75,37.49,34.15,61.02,88.04,15.9,66.49,13.535714,26.1,29.8,43.85,24.245,63.27,126.85,52.82,34.503754,49.3275,39.25,10.562,37.3,63.0,71.81,140.58
6,14.29,89.42,73.08,66.4,36.08,41.9,21.61,69.32,39.65,37.5,47.27,128.0,248.84885,40.75,35.45,78.05,69.86,65.84,17.79,28.6,25.37,57.77,56.09994,34.09,48.0,36.62,53.5,73.63,37.17,34.590004,60.88,88.97,16.06,66.58,13.705714,25.78,29.76,44.25,24.375,64.16,124.8,53.11,34.270374,50.28,39.7,10.52,38.4,64.2,70.99,141.58
7,14.485,89.42,73.4,66.45,37.2,42.32,21.79,69.1,39.95,37.84,47.62,129.87,251.24625,40.375,35.54,78.41,71.31,66.52,17.35,28.766666,25.58,57.92,56.09994,34.6,48.1,36.72,53.24,73.65,37.36,34.99,60.36,88.54,16.07,67.1,13.512857,26.38,30.65,44.48,24.3,64.4,125.0,54.4,34.774483,51.0925,40.03,10.575,38.56,64.78,71.21,142.15
8,14.68,88.67,73.48,66.65,37.72,43.59,22.1,70.08,40.0,38.0,47.93,131.49,254.02902,40.05,35.81,79.48,72.44,67.87,17.39,29.486666,25.34,59.0,55.739944,34.94,48.16,36.31,53.46,74.8,38.4,35.010002,59.95,88.25,15.85,67.25,13.668571,26.64,31.26,44.8,24.24,64.91,126.4,55.1,34.92385,50.1,40.38,10.53,38.87,64.5,72.5,143.07
9,14.675,89.42,72.38,66.6,37.73,44.19,21.25,69.71,40.19,38.18,48.32,131.64,251.94695,40.025,36.31,79.33,72.89,67.07,17.29,29.506666,25.36,59.0,56.039944,34.6,48.65,36.56,53.5,74.95,38.7,35.000004,59.6,88.02,15.84,66.13,13.937143,26.7,31.26,44.95,24.265,65.21,120.82,55.95,34.587776,49.6,40.59,10.7,37.98,64.67,71.49,142.85
10,14.99,87.79,72.6,66.46,37.72,44.69,20.89,70.83,40.05,38.01,48.2,132.2,247.5075,40.1,36.27,78.71,73.07,68.4,17.48,30.026667,25.17,58.29,55.649944,34.65,48.05,36.75,53.45,75.12,37.5,35.3,60.73,89.13,15.61,67.58,13.157143,26.84,31.15,45.05,24.21,65.25,123.25,54.6,34.167683,50.79,40.75,10.995,39.19,64.41,72.67,143.17
11,14.755,87.95,72.8,68.0,37.72,45.05,20.62,71.33,40.97,37.15,48.49,131.94,244.23424,40.255,36.29,79.09,72.3,67.72,17.06,29.933332,25.31,58.04,56.36994,35.3,48.3,36.74,53.46,75.3,36.69,35.930004,59.99,88.45,15.51,66.57,12.661428,27.22,30.73,45.86,24.205,65.69,122.0,53.8,35.07322,50.55,41.12,10.25,39.27,65.01,72.5,142.54
12,15.23,87.01,73.3,68.0,37.91,47.21,20.92,72.51,40.66,37.13,48.16,132.27,246.49649,40.33,35.96,79.25,73.12,68.31,17.25,29.706667,25.64,58.18,56.219944,35.24,48.87,36.81,53.64,75.05,37.65,35.45,60.1,87.51,15.58,67.5,12.734285,27.23,31.06,45.42,24.055,65.95,124.9,53.2,34.643787,51.5,42.6,10.599,40.05,64.63,73.65,143.07
13,15.575,87.07,72.8,66.99,37.82,48.28,20.85,71.61,40.03,36.68,47.78,132.1,240.63564,40.26,35.8,78.71,73.25,67.96,17.01,29.766666,25.65,58.08,55.91994,35.14,49.57,36.63,53.25,74.29,36.9,35.02,59.53,85.01,15.53,67.17,12.247143,26.62,30.63,45.53,24.075,66.0,124.0,52.2,34.877174,51.6375,41.49,10.871,40.11,64.71,73.55,142.26
14,16.49,87.95,72.66,66.41,37.6,49.98,20.6,72.49,40.52,36.7,48.07,134.48,242.46747,41.315,35.97,78.85,74.12,68.86,17.11,29.78,25.95,58.13,56.039944,36.06,49.68,36.64,53.47,73.9,36.51,35.58,59.7,87.35,15.73,68.32,12.382857,26.34,30.78,45.78,24.095,65.55,126.55,51.37,35.12923,53.9875,41.41,10.89,41.3,64.74,74.5,142.97
15,16.835,88.29,72.0,66.81,37.35,49.0,20.87,72.5,40.53,36.65,48.61,132.8,250.75075,40.925,36.46,79.56,74.13,68.28,17.13,29.906666,25.94,58.45,56.33994,37.3,50.24,36.6,53.2,74.44,38.08,35.350002,60.16,87.3,15.76,67.22,12.444285,26.82,31.08,46.01,24.035,65.36,127.0,51.8,35.53999,54.6175,42.24,11.225,40.8,65.07,74.62,143.86
16,16.49,88.3,71.78,66.68,36.25,47.05,20.69,72.14,40.12,36.45,48.05,132.0,245.71071,40.55,36.13,78.97,73.75,68.03,17.04,29.026667,25.35,57.76,56.84994,36.37,50.0,36.6,52.52,73.8,37.26,35.000004,58.95,86.0,15.46,67.39,12.444285,26.33,31.22,45.99,24.0,65.0,123.5,52.06,35.00787,53.1025,41.77,10.919,40.48,64.45,73.89,142.57
17,16.33,88.85,71.05,66.25,36.1,46.35,20.8,71.51,40.3,36.07,48.15,131.85,249.24925,41.14,35.91,78.54,73.77,67.58,17.09,28.76,25.17,57.86,57.35994,36.35,49.57,36.3,51.99,72.5,36.7,34.500004,59.03,85.05,15.29,66.71,12.328571,26.24,30.65,46.19,23.88,65.23,122.6,51.35,34.933186,52.2475,41.61,10.9,39.91,64.45,73.65,142.19
